id,cote,shelfmark,folios,author_ar,author_translit,title_ar,title_translit,PORTAL_heading,PORTAL_url,notes
r0207,022,Laleli 1516,fol.112a-118b,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,بيان احوال الصوفية,,,,
r0208,022,Laleli 1516,fol.88b-111b,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,جوامع آداب الصوفية,,,,
r0209,075,Laleli 1554,,جعفر الصادق,Ǧaʿfar al-Ṣādiq,منافع القرآن,,,,
r0210,073,Laleli 3664,fol.16a-25b,ابن ابي الدنيا,Ibn Abī al-Dunyā,الرضاء عن الله والصبر على قضائه,,,,
r0211,"034 a,b",Nafiz pasa 117 (2 vols.),,روزبهان الشيرازي,Rūzbihān Baqlī al-Šīrāzī,عرائس البيان,,,,
r0212,067,Nafiz pasa 457,,ابو الحسن النوري,Abū al-Ḥasan al-Nūrī,مقامات القلوب,,,,
r0213,067,Nafiz pasa 457,fol.7a-19b,,,فوائد,,,,
r0214,026,Nafiz pasa 65,,جعفر الصادق,Ǧaʿfar al-Ṣādiq,تفسير,,,,
r0215,025,Sehid `ali 1157,,الخركوشي,Abū Saʿd al-Ḫargūšī,تهذيب الاسرار,,,,
r0216,115,Sehid `ali 1157,,الخركوشي,Abū Saʿd al-Ḫargūšī,تهذيب الاسرار,,,,
r0217,007,Sehid `ali 1174,,ابو القاسم احمد بن قسي المغربي,Abū al-Qāsim Aḥmad b. Qasī al-Maġribī,خلع النعلين,,,,
r0218,018,Sehid `ali 1380,fol.1-33b,,,رشح الزلال في اصطلاحات المشايخ,,,,
r0219,018,Sehid `ali 1393,,القشيري,Abū al-Qāsim al-Qušayrī,مختصر في التوبة,,,,
r0220,028,Sehid `ali 1424,fol. 1-60b,ابن الجوزي,Ibn al-Ǧawzī,مناقب معروف الكرخي,,,,
r0221,018,Sehid `ali 2822,fol.21a-35a,ابو بكر جعفر بن محيي الحسن بن المستفاص الفيزيائي,Abū Bakr Ǧaʿfar b. Musrtafāḍ al-Faryābī,كتاب الصيام,,,,
r0222,086,Sehid `ali 360,,السمرقندي,Abū Muḥammad al-Ḥasan b. Aḥmad al-Samarqandī,ذكر الابدال,,,,
r0223,086,Sehid `ali 360,,ابن ابي الدنيا,Ibn Abī al-Dunyā,كتاب اليقين,,,,
r0224,"012 a,b",Yeni cami 43 (2 vols.),,السلمي,Abū ʿAbd al-Raḥmān al-Sulamī,حقائق التفسير,,,,
